Crop Type,Variety,Soil Type,Soil pH,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Organic Matter (%),Temperature (°C),Precipitation (mm),Fertilizer Type,Fertilizer Amount (kg/ha),Irrigation Type,Irrigation Frequency,Yield (kg/ha),Quality (Grade)
Maize,B,Silty,7.7,61.83,46.76,14.77,3.79,15.5,21.6,Urea,60.13,Sprinkler,Weekly,4401.05,C
Wheat,B,Loamy,5.6,91.67,20.52,23.69,2.5,21.6,10.4,MOP,67.18,Flood,Biweekly,3182.48,D
Soybean,E,Peaty,7.7,83.96,14.35,18.85,2.87,25.6,145.3,Organic,87.38,Manual,Monthly,3327.32,C
Rice,A,Loamy,7.3,23.29,45.38,60.88,2.83,15.9,128.5,Organic,71.94,Flood,Monthly,1804.63,E
Soybean,A,Sandy,7,40.2,11.11,37.36,3.93,31.8,182.4,Urea,44.21,Sprinkler,Monthly,1802.21,D
Maize,D,Peaty,6.4,56.39,22.95,50.92,2.21,24.5,133.6,Organic,66.06,Manual,Weekly,1365.86,B
Maize,D,Loamy,5.7,25.07,20.05,46.08,1.98,30.4,34.1,MOP,90.71,Sprinkler,Daily,4245.65,C
Soybean,C,Silty,5.8,27.72,33.16,24.49,4.15,26.4,45.3,Organic,78.25,Flood,Weekly,6876,E
Cotton,E,Peaty,6.1,26.36,15.08,89.02,2.18,15.4,72.1,MOP,22.31,Drip,Biweekly,7422.82,A
Cotton,D,Clay,6.3,20.89,15.55,16.08,3.79,25,48.2,Organic,20.53,Sprinkler,Biweekly,6999.34,E
Soybean,B,Silty,7.5,90.39,44.51,95.57,3.75,24.6,40.5,Urea,40.14,Sprinkler,Monthly,3119.6,E
Wheat,A,Silty,6.7,30.67,48.53,27.91,4.56,21.9,82,DAP,56.98,Drip,Biweekly,1106.48,E
Soybean,C,Silty,7.3,57.08,32.56,97.47,2.83,15.2,25.2,Compost,89.12,Flood,Weekly,2499.09,A
Soybean,B,Clay,5.9,38.07,46.44,56.8,1.42,27,52.1,MOP,47.41,Flood,Biweekly,4301.29,C
Maize,C,Loamy,7.8,21.4,19.09,75.77,2.87,22.4,154.2,Compost,58.56,Sprinkler,Biweekly,1594,D
Wheat,A,Sandy,6.9,13.12,43.21,63.21,4.39,22.7,47.7,Compost,46.57,Drip,Biweekly,5732.31,E
Rice,D,Loamy,7.1,85.88,12.72,57.89,1.33,34.9,5.1,MOP,94.73,Drip,Daily,2692.2,B
Maize,D,Sandy,6.7,71.07,9.59,61.49,1.8,29.9,170.7,Urea,32.57,Manual,Biweekly,4939.14,E
Cotton,B,Clay,7.5,49.62,24.27,70.52,1.23,17.9,157.8,Compost,90.84,Sprinkler,Monthly,3504.51,D
Cotton,E,Peaty,6.3,41.62,8.01,48.52,3.59,26.5,117,DAP,90.26,Flood,Biweekly,4364.66,B
Soybean,A,Peaty,7.7,68.52,7.59,22.11,2.3,25.4,47.7,Urea,86.46,Flood,Biweekly,7732.8,B
Cotton,B,Clay,7.1,11.27,10.35,16.95,2.87,31.3,102.8,MOP,89.21,Flood,Biweekly,6169.29,B
Rice,D,Peaty,5.9,52.69,29.11,61.43,2.86,15.4,90.1,Organic,35.61,Drip,Monthly,5438.84,C
Soybean,E,Clay,6.6,99.23,23.74,40.77,2.37,17.1,132.6,DAP,50.67,Sprinkler,Monthly,4698.04,C
Rice,D,Loamy,7.1,41.36,16.65,23.99,2.33,28.6,151.1,Urea,55.81,Manual,Weekly,5381.8,C
Rice,C,Loamy,6.1,44.69,23.64,38.68,2.67,20.5,158.7,MOP,24.37,Flood,Biweekly,7277.82,E
Cotton,C,Loamy,7,48.91,23.45,74.77,1.89,23.8,101.2,Compost,24,Sprinkler,Monthly,1765.49,C
Soybean,E,Peaty,7.4,64.15,47.5,39.5,2.94,26.9,192.1,Organic,47.57,Sprinkler,Daily,3256.03,A
Soybean,D,Sandy,6.5,48.8,14.95,95.82,4.78,22.5,104.3,MOP,79.74,Drip,Weekly,5147.77,E
Rice,A,Sandy,6,91.16,10.9,41.94,4.84,31.1,93.1,MOP,91.27,Flood,Biweekly,5895.03,A
Rice,B,Clay,7.6,17.87,6.34,36.39,3.27,31.9,17.3,MOP,49.78,Sprinkler,Monthly,6122.17,B
Maize,D,Silty,6.8,13.8,11.08,32.36,3.41,19.9,155.1,DAP,87.59,Sprinkler,Monthly,3605.81,D
Rice,D,Clay,5.9,21.46,23.66,79.69,4.12,30.7,94.8,Compost,34.9,Sprinkler,Weekly,4865.46,D
Maize,E,Sandy,6.2,35.12,22.02,58.13,4.5,19.8,116.9,Organic,99.48,Drip,Weekly,4958.72,D
Wheat,A,Sandy,8,10.07,49.24,99.15,1.55,16.9,63,Urea,83.51,Flood,Monthly,4370.75,D
Cotton,B,Silty,7.6,88.38,21.95,82.2,1.15,22.3,120.9,Organic,83.96,Manual,Weekly,2487,D
Soybean,E,Sandy,7.7,76.74,10.16,51.74,4.03,34.4,96.1,MOP,27.69,Sprinkler,Monthly,4275.72,A
Soybean,E,Loamy,5.5,33.13,10.86,95.74,1.05,17.5,97.7,Urea,48.95,Flood,Weekly,2960.24,D
Wheat,A,Clay,7.6,17.14,44.32,15.22,3.93,27.5,9.5,MOP,65.19,Manual,Daily,5572.81,C
Cotton,E,Loamy,6.4,47.03,45.3,87.66,2.65,34.4,173.5,MOP,83.45,Drip,Biweekly,5653.72,A
Maize,A,Sandy,5.7,42.01,48.16,86.97,4.56,34.2,37.6,MOP,61.93,Flood,Biweekly,4159.28,A
Wheat,A,Loamy,7.1,99.33,38.35,13.67,3.07,26.2,156,Compost,47.24,Drip,Daily,4355.4,B
Wheat,E,Peaty,7.5,58.42,48.59,81.33,4.27,22.9,7.4,Organic,93.61,Manual,Biweekly,5339.33,D
Cotton,E,Peaty,7,65.87,31.36,51.43,2.59,34.6,21.1,DAP,60.59,Manual,Daily,1027.59,D
Cotton,E,Peaty,6.5,18.87,17.69,82.49,4.34,21.1,126.8,Organic,88.54,Sprinkler,Weekly,7861.78,C
Rice,D,Clay,6.8,29.07,11.08,28.31,3.07,21,139.6,Organic,45.77,Flood,Biweekly,1649.44,E
Rice,A,Sandy,7.1,86.39,19.07,42.07,3.66,30.6,104.8,MOP,44.91,Manual,Monthly,1388.96,A
Wheat,A,Peaty,7.9,83.68,44.48,82.28,3.1,15.7,171.1,Compost,20.73,Sprinkler,Monthly,7162.1,B
Wheat,C,Peaty,7.1,31.18,48.49,44.22,1.14,19,10,Urea,78.29,Flood,Daily,7566.46,C
Wheat,E,Loamy,6.5,92.6,43.39,96.41,3.44,15.7,38.8,MOP,43.24,Manual,Biweekly,2166.4,E
Rice,D,Peaty,5.9,24.75,23.34,61.64,3.04,26.6,156,Urea,91.69,Drip,Daily,7667.12,E
Maize,A,Peaty,6.1,97.63,14.8,94.82,4.7,21.4,75.9,Compost,93.07,Sprinkler,Monthly,6557.11,D
Rice,A,Silty,6.8,55.44,30.79,56.59,1.94,22.8,83.9,DAP,41.02,Sprinkler,Daily,7077.39,D
Soybean,D,Silty,6.1,38.9,12.34,53.59,1.18,27.8,102.3,Compost,27.85,Flood,Biweekly,3810.52,C
Soybean,E,Peaty,6.8,24.2,15.41,52.04,1.34,32,177.7,DAP,92.99,Drip,Daily,7204.85,A
Wheat,E,Sandy,6.1,10.25,38.6,37.97,3.19,20.4,10.9,Organic,79.87,Sprinkler,Biweekly,5064.05,B
Rice,C,Clay,6.8,77.82,9.55,77.69,2.33,31,180.7,MOP,39.5,Manual,Monthly,4081.94,B
Soybean,B,Silty,6.8,84.13,5.61,97.6,4.07,29.7,111.1,Organic,36.88,Sprinkler,Biweekly,2814.67,A
Wheat,E,Peaty,5.8,45.94,13.71,67.74,3.21,22.6,184.5,MOP,51.02,Flood,Weekly,1414.31,E
Soybean,D,Loamy,5.7,43.61,7.31,72.19,4,31.7,169.8,DAP,72.75,Flood,Weekly,7776.77,E
Maize,A,Silty,5.5,27.83,12.48,27.45,1.98,32.7,167.5,Compost,34.22,Sprinkler,Weekly,7290.64,A
Maize,B,Sandy,7,89.17,17.44,41.17,1.87,15.2,31.7,Organic,20.8,Flood,Weekly,1471.41,E
Wheat,C,Sandy,6.1,24.15,30.68,48.1,3.2,23.9,31.7,Compost,61.58,Flood,Weekly,7143.24,E
Maize,D,Clay,5.7,58.37,33.01,30.42,2.61,24,12.3,DAP,79.86,Sprinkler,Daily,3170.29,D
Cotton,A,Silty,6.5,25.3,45.82,65.53,1.74,26.3,171.9,Urea,56.77,Flood,Weekly,2873.91,B
Cotton,D,Clay,6.7,21.54,35.88,52.86,4.94,31.5,70.6,DAP,25.02,Flood,Weekly,7378.22,D
Maize,E,Loamy,7,91.06,27.23,10.43,1.35,18.6,102.4,Compost,33.74,Sprinkler,Monthly,6300.59,A
Wheat,A,Clay,8,80.93,7.65,96.51,2.82,28.7,86.1,Organic,64.4,Manual,Weekly,7812.27,B
Wheat,B,Clay,7.4,88.7,6.61,10.38,4.45,15.4,170.7,Compost,21.37,Manual,Daily,6004.46,D
Soybean,E,Peaty,7,57.24,6.32,85.15,4.14,31.3,26.1,Organic,88.97,Sprinkler,Weekly,7049.27,B
Cotton,D,Sandy,5.5,88.16,37.37,89.87,1.41,18,105.9,Urea,35.61,Manual,Weekly,4270.36,A
Wheat,B,Peaty,6.1,33.25,39.74,91.72,4.94,34.8,2.5,Organic,78.14,Flood,Monthly,5417.76,D
Cotton,C,Silty,7.4,88.27,46.03,88.27,2.34,26.1,20.1,MOP,89.81,Drip,Biweekly,2584.06,B
Maize,A,Sandy,7.7,21.51,11.68,87.1,2.13,20.5,42.3,Organic,90.09,Drip,Daily,4023.95,D
Rice,E,Sandy,5.7,85.94,8.3,55.1,1.42,31,184.2,DAP,84.51,Sprinkler,Daily,6893.06,B
Rice,A,Clay,7.8,46.07,18.71,56.94,4.89,26.5,88.1,MOP,23.06,Manual,Weekly,3175.7,E
Cotton,E,Sandy,7.6,45.96,13.73,79.81,4.27,25.5,106.6,Urea,33.81,Flood,Monthly,6955.38,B
Wheat,D,Sandy,5.8,10.79,10.42,27.94,2.58,18.3,28.4,MOP,75.53,Manual,Daily,1348.43,E
Maize,A,Peaty,6.1,95.82,10.41,51.96,4.55,19.3,110.8,Urea,92.55,Drip,Weekly,1950.37,B
Wheat,B,Clay,7,21.4,39.09,91.42,3.68,33.2,144,MOP,87.51,Drip,Weekly,4186.34,E
Cotton,B,Loamy,5.5,38.01,19.1,81.53,3.45,34.3,186.6,Compost,84.13,Drip,Daily,3660.72,E
Cotton,C,Clay,6.6,71.53,21.05,34.38,3.54,19,158.1,Urea,67.22,Sprinkler,Weekly,3135.98,B
Cotton,B,Loamy,5.7,15.21,8.36,22.29,3.2,34.8,79.7,Compost,54.41,Sprinkler,Weekly,5831.3,E
Wheat,A,Peaty,6.9,84.19,32.63,60.55,1.9,19.2,143.7,Compost,26,Manual,Monthly,3620.77,B
Cotton,B,Silty,7.8,11.79,12.52,91.7,3.02,28.4,38.2,Compost,86.16,Manual,Monthly,2839.21,B
Maize,D,Silty,5.6,58.03,48.3,79.68,2.7,17.3,107.8,DAP,96.28,Drip,Biweekly,6893.87,B
Wheat,E,Peaty,7.4,86.5,23.68,65.6,1.51,26.2,150.1,Organic,44.44,Manual,Weekly,3419.04,E
Cotton,D,Silty,7.1,60.08,47.25,79.31,2.6,21.8,184.9,Organic,37.2,Sprinkler,Daily,2928.58,A
Rice,D,Sandy,6,36.52,11.55,52.35,1.47,26,179.6,Compost,90.42,Manual,Monthly,1871.06,C
Wheat,C,Loamy,6.3,44.66,33.13,53.78,3.44,26,87,MOP,75.35,Sprinkler,Daily,3199.59,A
Rice,A,Clay,7.4,32.56,44.12,39.92,2.13,19.6,164.7,Compost,55.49,Drip,Biweekly,7295.4,A
Wheat,C,Loamy,5.5,28.41,24.62,33,1.55,32.5,153.6,Urea,52.78,Drip,Biweekly,7606.27,B
Wheat,E,Silty,6.6,60.3,21.72,89.63,1.49,32.6,0.3,Compost,21.8,Flood,Biweekly,4634.98,A
Wheat,B,Sandy,6.2,95.39,36.81,26.04,1.21,26.6,116.1,DAP,84,Flood,Monthly,2829.32,A
Maize,D,Silty,6,70.55,29.49,11.39,4.96,24.4,44.9,Urea,34.31,Sprinkler,Biweekly,3961.3,C
Rice,B,Silty,6.7,60.74,22.03,31.27,2.49,32.5,139.6,Organic,84.59,Sprinkler,Weekly,3615.61,E
Wheat,E,Silty,5.7,79.07,8.18,82.97,1.54,19.8,114.7,Urea,29.65,Sprinkler,Daily,3535.14,D
Rice,E,Clay,6,78.78,44.76,56.83,2.5,31.1,4.6,DAP,36.28,Sprinkler,Monthly,7975.68,A
Maize,D,Sandy,6.5,59.6,38.93,43.12,3.67,26.3,156.2,Organic,41.42,Flood,Biweekly,1099.48,A
Soybean,E,Clay,7.8,15.18,22.82,78.91,2.08,25.1,94.9,DAP,46.29,Sprinkler,Biweekly,2015.37,D
Maize,E,Sandy,6,12.68,44.34,21.99,3.47,23.1,58.1,Compost,51,Manual,Daily,7278.8,E
Soybean,C,Peaty,6.5,72.61,18.74,41.37,4.95,31,30,Compost,30.56,Manual,Daily,4894.54,D
Maize,D,Clay,5.7,36.29,47.32,55.06,4.76,26.7,117.5,Urea,83.58,Manual,Biweekly,7471.93,C
Rice,A,Peaty,5.8,50.06,42.24,31.27,4.58,28.7,157,Organic,74.62,Flood,Daily,5329.18,D
Wheat,A,Sandy,5.5,42.45,42.69,26.13,3.82,27.8,175.9,DAP,98.95,Sprinkler,Weekly,7298.22,E
Wheat,E,Silty,5.6,10.87,47.68,51.36,2.37,17.3,77,MOP,77.99,Drip,Monthly,3999.6,B
Soybean,D,Loamy,5.9,44.96,28.01,32.53,1.41,27.5,155.7,DAP,63.81,Sprinkler,Daily,5483.83,D
Maize,D,Peaty,6.2,40.47,18.02,23.01,3.01,17,104.8,Organic,59.59,Drip,Daily,1749.52,B
Rice,B,Silty,6.6,38.95,19.85,64.93,2.28,21.3,27.8,Urea,86.86,Sprinkler,Monthly,7250.02,D
Soybean,A,Sandy,6.4,26.24,45.58,15.83,2.19,23.7,119.1,Urea,79.13,Manual,Biweekly,2161.06,E
Wheat,E,Loamy,7.5,30.77,23.13,76.49,2.55,25.3,54.1,MOP,89.81,Manual,Weekly,3407.95,A
Cotton,E,Silty,7.1,84.86,11.29,86.42,2.35,27.6,25.4,Urea,90.3,Drip,Monthly,5552.58,E
Soybean,C,Silty,6.7,95.03,12.69,88.41,1.4,22.1,197.5,MOP,59.22,Manual,Daily,7079.88,D
Soybean,B,Peaty,7.1,46.73,32.77,63.88,1.72,23.4,67.1,DAP,47.8,Flood,Weekly,4965.84,A
Wheat,B,Silty,6.1,89.94,47.96,26.59,2.37,28.5,95.4,Urea,77.93,Flood,Daily,1394.55,B
Cotton,C,Clay,7.7,73.25,12.45,23.98,1.18,15.4,77.1,DAP,99.92,Manual,Biweekly,3893.85,D
Wheat,A,Peaty,7.6,85.34,25.7,57.82,2.78,30.5,110.8,Urea,82.46,Flood,Biweekly,4577.77,D
Soybean,A,Sandy,6.3,64.07,23.39,30.17,1.58,29.3,169.6,Urea,30.61,Sprinkler,Monthly,6527.75,C
Cotton,C,Sandy,7.7,17.64,26.19,38.21,3.56,33.4,44.1,Organic,47.95,Flood,Monthly,1372.09,E
Maize,D,Sandy,6.9,26.77,13.59,28.13,4.03,29.9,141.1,Organic,42.24,Manual,Biweekly,1658.55,B
Wheat,D,Clay,7.1,82.23,34.47,12.02,2.95,27.5,19.1,MOP,93.74,Sprinkler,Monthly,3571.28,E
Wheat,E,Loamy,6.7,45.72,14.47,73.14,4.26,19.2,143.8,DAP,25.35,Flood,Daily,3060.25,B
Maize,C,Clay,6.1,21.25,49.24,80.36,3.36,24,67.2,DAP,51.14,Manual,Biweekly,4538.13,B
Cotton,B,Peaty,7.7,18.95,49.3,16.02,1.54,32.6,56.8,MOP,62.43,Sprinkler,Biweekly,7415.94,C
Soybean,C,Peaty,5.8,60.88,5.66,14.28,3.19,34,198.2,Urea,47.85,Drip,Monthly,6672.84,C
Soybean,C,Loamy,5.6,28.18,26.72,20,2.24,27.9,19.6,MOP,92.19,Sprinkler,Monthly,3502.08,C
Maize,C,Clay,5.9,41.97,26.58,69.78,1.26,19,32.1,DAP,22.66,Sprinkler,Biweekly,7205.51,A
Wheat,A,Clay,6.5,67.12,30.03,31.15,3.68,21.9,148.4,MOP,26.44,Flood,Weekly,1791.24,A
Cotton,D,Sandy,6.4,93.56,6.39,22.12,1.12,33.3,191.3,Urea,86.72,Flood,Biweekly,5970.84,E
Maize,D,Silty,5.9,45.08,49.5,67.1,1.75,22.6,53.6,Organic,52.61,Manual,Weekly,7111.35,C
Soybean,E,Clay,7.9,41.29,16.79,87.84,3.7,33.9,24.9,Organic,25.16,Drip,Daily,7966.97,D
Rice,E,Clay,7.5,98.22,7.82,36.6,3.2,19.1,93,DAP,47.71,Drip,Monthly,1203.33,D
Cotton,A,Loamy,7.2,94.94,30.45,41.07,1.94,21.9,30,Compost,38.35,Sprinkler,Daily,1269.19,A
Rice,E,Clay,6.4,47.3,45.23,95.45,4.76,34.9,70.6,DAP,76.79,Drip,Biweekly,1102.89,B
Wheat,E,Clay,6.1,18.31,29.94,80.88,3.94,34.1,15.5,DAP,90.65,Flood,Weekly,1482.96,C
Soybean,B,Peaty,5.7,35.09,40.76,38.1,2.42,20.2,100.2,Urea,53.06,Sprinkler,Monthly,6648.85,D
Cotton,A,Clay,5.6,60.41,44.2,54.23,1.15,31.7,30.9,DAP,44.63,Flood,Biweekly,4575.25,C
Maize,C,Peaty,6.4,25.83,48.53,22.84,4.37,32.9,123.5,MOP,20.28,Manual,Biweekly,7162.91,B
Cotton,D,Clay,7.5,73.86,16.25,71.74,4.52,26.6,17.9,Urea,75.7,Manual,Daily,3198.95,D
Cotton,C,Loamy,7.3,53.14,17.13,21.66,4.18,28.5,99.2,MOP,22.99,Drip,Biweekly,1658.34,C
Rice,B,Clay,6,41.42,31.83,57.97,4.69,15.2,9.1,DAP,44.5,Sprinkler,Monthly,4862.09,E
Rice,D,Clay,6.6,80.97,42.97,59.86,1.54,21.4,174.7,Organic,90.66,Flood,Weekly,6742.32,A
Soybean,C,Silty,7.2,41.74,11.79,89.79,4.48,15.8,81.4,Urea,44.29,Manual,Daily,2781.14,A
Rice,E,Sandy,6.5,66.89,27.49,54.72,3.61,24.9,171.3,Urea,33.08,Drip,Monthly,7411.14,B
Rice,B,Sandy,7.9,51.75,26.09,77.26,2.33,16.6,189.3,MOP,28.22,Flood,Monthly,7590.92,C
Cotton,A,Peaty,5.8,79.1,30.24,63.42,2.58,29.3,97.1,Compost,65.43,Manual,Monthly,2692.3,A
Wheat,D,Silty,7,45.49,44.74,57.49,3.49,22.5,101.8,DAP,36.19,Flood,Biweekly,3662.4,E
Wheat,B,Sandy,8,21.35,46.4,58.96,3.22,18.7,2.2,Urea,91.52,Flood,Biweekly,4126.42,D
Cotton,C,Silty,6.3,95.7,41.91,62.83,2.15,31.4,180.4,DAP,45.31,Manual,Biweekly,1522.17,C
Wheat,D,Peaty,6.4,39.18,20.43,70.4,2.61,34.7,10.7,Compost,20.37,Manual,Biweekly,7604.93,B
Wheat,E,Silty,7.5,88.08,13.97,47.15,4.55,33.8,168.9,Organic,49.91,Manual,Daily,7540.66,C
Rice,D,Loamy,5.8,43.06,23.14,16.52,1.05,17,100.2,Compost,53.52,Flood,Biweekly,1178.08,C
Rice,E,Silty,6.2,74.05,18.39,86.74,4.42,28.9,69.3,Urea,98.16,Flood,Monthly,7065.72,C
Cotton,D,Loamy,6.4,16.72,18.88,28.8,3.66,34.2,115.6,Organic,56.59,Drip,Biweekly,2193.2,D
Cotton,E,Sandy,7.4,81.56,28.73,22.83,5,17.9,65.7,Compost,47.9,Sprinkler,Biweekly,7385.2,C
Wheat,A,Clay,8,64.09,23.63,96.06,1.53,26.4,81.8,Organic,46.08,Sprinkler,Weekly,6697.06,D
Wheat,E,Clay,6.1,76.57,11.55,41.32,3.43,31.7,158,Compost,63.6,Drip,Monthly,2917.8,E
Wheat,E,Silty,6.1,92.47,24.12,23.32,4.56,25.6,106.9,Organic,89.67,Flood,Monthly,6159.04,D
Wheat,D,Loamy,7.4,43.39,6.7,34.94,3.73,28.2,152.5,MOP,44.45,Manual,Daily,4776.47,A
Soybean,E,Clay,7.4,42.64,25.36,96.11,1.14,27.4,167.1,Compost,79.94,Manual,Weekly,7959.67,B
Rice,B,Loamy,6.2,51.91,24.69,12.75,1.85,32,56.1,Urea,44.53,Flood,Weekly,3565.97,E
Soybean,B,Clay,5.8,61.88,35.86,50.79,1.32,31.4,8.7,Compost,54.25,Flood,Monthly,7524.89,E
Wheat,A,Silty,5.7,43.44,38.73,24.3,4.78,21.8,15.7,DAP,71.43,Drip,Monthly,2939.94,D
Soybean,D,Peaty,5.9,74.21,32.61,76.12,3.94,30.4,11.1,DAP,83.09,Flood,Daily,4515.21,C
Wheat,A,Loamy,7.9,59.66,6.43,23.08,2.29,28,30.7,MOP,58.62,Flood,Weekly,3583.74,A
Maize,E,Loamy,6.3,96.54,49.5,72.37,3.77,24.7,13.6,Urea,51.01,Manual,Monthly,7958.74,E
Wheat,C,Clay,6,70.04,23.69,39.74,3.91,25.4,126.7,Urea,41.71,Drip,Biweekly,2757.74,D
Soybean,E,Sandy,5.8,75.94,32.73,21.13,4.16,19.2,178.9,MOP,93.16,Flood,Weekly,4881.29,E
Wheat,D,Peaty,7,46.82,21.82,57.07,4,30.8,89.9,DAP,66.09,Flood,Biweekly,1754.15,A
Rice,A,Silty,7.2,89.01,18.45,81.34,1.08,17.2,153.9,Compost,92.59,Sprinkler,Biweekly,6666.85,D
Cotton,B,Sandy,6.2,26.6,48.96,54.73,3.07,15.2,191.6,DAP,50.84,Manual,Weekly,4114.07,A
Cotton,E,Clay,5.5,33.75,19.16,36.86,3.86,31.2,26.6,Urea,90.68,Drip,Biweekly,2179.37,A
Wheat,B,Clay,6.5,74.21,37.06,44.64,3.19,33,148,DAP,85.8,Sprinkler,Daily,1561.32,E
Cotton,B,Peaty,6.6,87.97,44.86,78.71,3.83,18.4,172,DAP,78.03,Sprinkler,Biweekly,7762.75,A
Rice,C,Sandy,7.6,90.98,33.37,54.91,1.22,17.5,184.1,Urea,98.58,Flood,Weekly,7233.26,E
Cotton,A,Loamy,7.8,15.91,33.6,93.65,1.83,27.3,43.6,MOP,56.18,Manual,Biweekly,3579.34,B
Cotton,D,Peaty,6,25.67,45.1,42.08,1.24,22.4,34.1,Organic,75.47,Flood,Weekly,4120.83,B
Rice,C,Peaty,7.1,45.44,34.8,36.39,1.96,18.2,64.7,Organic,93.38,Sprinkler,Weekly,7592.49,E
Soybean,A,Peaty,6.3,60.82,21.15,74.38,3.03,26.8,84,Organic,47.01,Sprinkler,Monthly,3901.94,B
Maize,E,Clay,6.6,23.33,29.01,13.6,2.5,32,43.6,MOP,30.55,Drip,Weekly,6236.76,A
Rice,E,Peaty,6.3,95.85,47.35,68.7,2.91,34.5,61.4,Organic,26.05,Manual,Monthly,3919.63,C
Cotton,C,Clay,8,89.96,23.08,40.07,1.43,19.5,110.8,DAP,73.94,Manual,Daily,2110.66,B
Maize,C,Sandy,6.1,84.8,18.73,45.12,1.64,32.8,68.4,Organic,79.05,Flood,Daily,2986.54,B
Rice,C,Silty,6.3,51.74,22.73,31.95,3.2,16.2,29.7,Compost,38.19,Sprinkler,Biweekly,7025.68,D
Maize,C,Silty,5.6,34.34,6.45,25.96,1.35,24.8,52.4,Urea,43.97,Manual,Monthly,1493.71,D
Soybean,C,Sandy,5.8,31.5,27.11,55.6,1.08,17.9,37.6,Organic,24.28,Drip,Weekly,7269.72,B
Rice,B,Loamy,5.6,49.99,34.12,12.9,2.91,25.3,81.8,DAP,88.63,Drip,Daily,5765.18,D
Cotton,A,Peaty,6.7,25.36,37.23,75.92,2.97,27.8,92.9,Compost,40.04,Drip,Biweekly,2631.57,D
Wheat,E,Peaty,6,65.29,36.29,98.93,1.33,24.7,90.3,Organic,85.26,Drip,Biweekly,6516.33,E
Maize,B,Peaty,6.6,92.68,29.71,12.8,4.04,34.3,152.6,DAP,93.46,Manual,Biweekly,7669.73,D
Cotton,E,Silty,7,72.23,43.32,72.36,3.92,31.6,123.4,Compost,70.94,Flood,Weekly,2519.52,A
Maize,E,Sandy,7.8,36.78,26.32,66.14,2.91,24.5,158.5,Compost,59.14,Manual,Daily,1053.01,B
Rice,A,Clay,6.9,23.71,48.48,70.81,2.08,27.8,58.3,Compost,82.5,Drip,Weekly,3149.28,C
Soybean,E,Peaty,7.1,36.97,36.99,85.66,4.4,27.1,165,DAP,60.2,Flood,Daily,1140.39,B
Rice,E,Loamy,6.6,93.19,47.85,41.55,3.54,31.2,11.6,DAP,62.1,Drip,Biweekly,1360.5,A
Maize,D,Peaty,5.8,96.7,36.01,20.45,1.35,27.1,119.9,MOP,51.68,Sprinkler,Monthly,7032.18,C
Soybean,C,Clay,7.9,40.24,24.87,36.16,1.27,21.5,135.6,Urea,31.49,Flood,Daily,1030.93,B
Cotton,D,Sandy,5.7,16.86,22.11,45.05,4.35,24.5,2,Organic,60.34,Flood,Biweekly,6415.35,C
Maize,D,Clay,7.7,43.97,27.66,78.47,2.86,33.4,185.8,Compost,46.63,Flood,Weekly,6321.27,A
Soybean,B,Loamy,6.5,42.17,26.44,66.98,2.45,24.9,4.4,Compost,63.99,Drip,Biweekly,6031.21,D
Maize,D,Clay,6.8,50.05,10.71,87.85,1.2,29,88.8,DAP,25.48,Manual,Biweekly,3312.15,E
Rice,C,Clay,5.6,24.54,14.91,96.11,1.25,27.3,52.6,Urea,62.11,Manual,Monthly,6947.41,E
Cotton,B,Loamy,6.3,39.66,28.87,82.51,4.08,16.9,78.8,MOP,45.81,Manual,Daily,7364.92,E
Cotton,D,Clay,6.9,57.69,35.13,90.65,3.19,30.5,93.3,DAP,36.03,Flood,Monthly,2854.38,A
Cotton,B,Clay,7.3,81.01,14.68,33.67,4.04,23.4,75.4,Compost,44.89,Sprinkler,Biweekly,2003.23,C
Cotton,D,Clay,7.1,27.04,27.08,19.38,2.94,15.5,132.9,DAP,22.94,Sprinkler,Daily,1768.15,B
Rice,D,Sandy,7.7,98.95,25.4,89.43,1.19,21.9,51,MOP,59.81,Flood,Monthly,1265.02,E
Maize,A,Peaty,5.9,65.87,24.35,84.92,3,27,134.9,DAP,45.28,Drip,Monthly,7272.89,E
Soybean,D,Sandy,7.8,68.78,46.46,75.28,2.93,24.8,153.7,Organic,60.45,Drip,Biweekly,2501.36,E
Soybean,A,Silty,6.1,30.78,37.77,13.53,2.67,22.6,148,Urea,63.63,Sprinkler,Daily,5502.08,C
Wheat,A,Silty,8,29.65,9.06,23.07,3.22,25.4,4.2,Organic,62.42,Flood,Monthly,7627.15,D
Rice,C,Loamy,7.8,17.89,22.98,18.64,2.71,31.7,125.6,Compost,88.28,Flood,Monthly,3154.97,B
Cotton,A,Sandy,6,91.12,28.47,16.46,1.71,30.5,54.7,Compost,78.57,Manual,Daily,3471.07,A
Cotton,A,Silty,6.7,13.26,8.68,28.87,5,23.4,6.1,DAP,93.99,Drip,Monthly,3819.79,E
Cotton,C,Clay,7.7,90.67,43.8,35.48,4.93,27.3,134.2,DAP,64.65,Sprinkler,Daily,7127.34,E
Maize,B,Loamy,5.8,76.68,36.06,70.6,1.38,21.1,52.2,MOP,49.32,Drip,Weekly,1302.94,C
Maize,B,Sandy,7.8,64.88,13.17,13.86,3.23,34.7,166.8,Organic,77.22,Flood,Monthly,3109.35,E
Wheat,E,Silty,7.8,42.76,48.69,48.74,3.27,22.2,92.7,DAP,61.93,Manual,Weekly,7588.04,A
